Name|period|AB|spt|mass|mass_unc|radius|radius_unc|teff|teff_unc|logg|logg_unc|Lbol|Lbol_unc|Vmag|Vmag_unc|
V3903 Sgr|1.74|A|O7V|27.27|0.55|8.088|0.086|38000|1900|4.058|0.016|5.088|0.087|-4.36|0.08|
HD 165921|7.27|B|O9V|19.01|0.44|6.125|0.060|34100|1700|4.143|0.013|4.658|0.088|-3.64|0.08|
EM Car|3.41|A|O8V|22.83|0.32|9.35|0.17|34000|2000|3.855|0.016|5.021|0.104|-4.55|0.10|
HD 97484|8.38|B|O8V|21.38|0.33|8.35|0.16|34000|2000|3.925|0.016|4.922|0.104|-4.30|0.10|
V1034 Sco|2.44|A|O9V|17.21|0.46|7.507|0.081|33200|900|3.9229|0.0082|4.789|0.048|-4.04|0.06|
CD-41 11042|8.32|B|B1.5V|9.59|0.27|4.217|0.089|26330|900|4.170|0.013|3.885|0.062|-2.44|0.09|
V478 Cyg|2.88|A|O9.5V|16.62|0.33|7.426|0.072|30479|1000|3.9173|0.0074|4.631|0.058|-3.91|0.07|
HD 193611|8.63|B|O9.5V|16.27|0.33|7.426|0.072|30549|1000|3.9080|0.0075|4.635|0.057|-3.91|0.07|
AH Cep|1.77|A|B0.5Vn|15.26|0.35|6.346|0.071|29900|1000|4.0166|0.0090|4.461|0.059|-3.54|0.07|
HD 216014|6.81|B|B0.5Vn|13.44|0.25|5.836|0.085|28600|1000|4.034|0.012|4.311|0.062|-3.29|0.08|
V578 Mon|2.41|A|B1V|14.50|0.12|5.149|0.091|30000|740|4.176|0.015|4.285|0.045|-3.09|0.07|
HD 259135|8.55|B|B2V|10.262|0.084|4.21|0.10|26400|600|4.200|0.021|3.888|0.045|-2.45|0.08|
V453 Cyg|3.89|A|B0.4IV|13.82|0.35|8.445|0.068|27800|400|3.7253|0.0056|4.583|0.026|-4.05|0.06|
HD 227696|8.28|B|B0.7IV|10.64|0.22|5.420|0.068|26200|500|3.9970|0.0095|4.094|0.035|-2.98|0.07|
CW Cep|2.73|A|B0.5V|13.05|0.20|5.64|0.12|28300|1000|4.050|0.019|4.263|0.064|-3.20|0.09|
HD 218066|7.59|B|B0.5V|11.91|0.20|5.14|0.12|27700|1000|4.092|0.021|4.145|0.067|-2.96|0.09|
DW Car|1.33|A|B1V|11.34|0.18|4.561|0.050|27900|1000|4.1747|0.0086|4.054|0.063|-2.71|0.08|
HD 305543|9.68|B|B1V|10.63|0.20|4.299|0.058|26500|1000|4.198|0.011|3.913|0.067|-2.50|0.09|
QX Car|4.48|A|B2V|9.25|0.12|4.291|0.091|23800|500|4.139|0.018|3.725|0.041|-2.29|0.08|
HD 86118|6.64|B|B2V|8.46|0.12|4.053|0.091|22600|500|4.150|0.019|3.585|0.043|-2.06|0.08|
V1388 Ori|2.19|A|B2.5IV-V|7.42|0.16|5.60|0.08|20500|500|3.812|0.016|3.697|0.044|-2.56|0.08|
HD 42401|7.40|B|B3V|5.16|0.06|3.76|0.06|18500|500|4.000|0.015|3.172|0.049|-1.48|0.08|
V539 Ara|3.17|A|B3V|6.240|0.066|4.516|0.084|18100|500|3.924|0.016|3.293|0.051|-1.83|0.09|
HD 161783|5.71|B|B4V|5.314|0.060|3.428|0.083|17100|500|4.093|0.021|2.955|0.055|-1.11|0.09|
CV Vel|6.89|A|B2.5V|6.086|0.044|4.089|0.036|18100|500|3.9991|0.0076|3.207|0.049|-1.61|0.08|
HD 77464|6.69|B|B2.5V|5.982|0.035|3.950|0.036|17900|500|4.0219|0.0078|3.158|0.049|-1.52|0.08|
AG Per|2.03|A|B3.4V|5.35|0.16|2.995|0.071|18200|800|4.213|0.020|2.946|0.079|-0.95|0.12|
HD 25833|6.72|B|B3.5V|4.89|0.13|2.605|0.070|17400|800|4.296|0.023|2.747|0.083|-0.55|0.12|
U Oph|1.68|A|B5V|5.273|0.091|3.484|0.021|16440|250|4.0759|0.0043|2.901|0.027|-1.07|0.06|
HD 156247|5.87|B|B6V|4.739|0.072|3.110|0.034|15590|250|4.1281|0.0087|2.710|0.029|-0.71|0.06|
DI Her|10.55|A|B5V|5.17|0.11|2.681|0.046|17000|800|4.295|0.015|2.732|0.083|-0.57|0.12|
HD 175227|8.42|B|B5V|4.524|0.066|2.478|0.046|15100|700|4.305|0.015|2.457|0.082|-0.16|0.11|
V760 Sco|1.73|A|B4V|4.969|0.090|3.015|0.066|16900|500|4.176|0.019|2.823|0.055|-0.81|0.09|
HD 147683|6.99|B|B4V|4.609|0.073|2.641|0.066|16300|500|4.258|0.021|2.645|0.058|-0.45|0.10|
MU Cas|9.65|A|B5V|4.657|0.095|4.195|0.058|14750|800|3.861|0.012|2.874|0.096|-1.25|0.12|
HD 6582|10.80|B|B5V|4.575|0.088|3.670|0.057|15100|800|3.969|0.013|2.798|0.094|-1.01|0.12|
GG Lup|1.85|A|B7V|4.106|0.044|2.380|0.025|14750|450|4.2983|0.0089|2.382|0.054|-0.02|0.08|
HD 135876|5.59|B|B9V|2.504|0.023|1.726|0.019|11000|600|4.3628|0.0092|1.593|0.095|1.22|0.12|
zeta Phe|1.67|A|B6V|3.921|0.045|2.852|0.015|14400|800|4.1210|0.0040|2.497|0.097|-0.37|0.12|
HD 6882|3.95|B|B8V|2.545|0.026|1.854|0.011|12000|600|4.3076|0.0046|1.806|0.088|0.90|0.11|
