Name|Other|HD|spt|spt_other|ref|V|V-K|K-[12]|theta_R|theta_R_unc|radius|radius_unc|Fbol|Teff|d|R
HR 79||1632|K5 III|K5 III|1|5.79|3.99|0.56|2.51|0.05|54.1|9.8|45.9 ± 3.9|3844 ± 90|200.0 ± 36.0|54.1 ± 9.8
HR 259||5316|M4 III|M4 IIIab|1, 2, 2003|6.2|5.19|0.56|3.67|0.10|70.5|10.3|59.1 ± 3.6|3388 ± 70|178.6 ± 25.5|70.5 ± 10.3
HR 274|68 Psc|5575|G6 III|gG6|4|5.42|2.49|0.35|2.80|0.11|65.5|10.3|32.8 ± 3.9|3348 ± 120|217.4 ± 33.1|65.5 ± 10.3
HR 351|84 Psc, \chi Psc|7087|G8.5 III|G8.5 III-IIIa|5|4.66|2.3|0.47|1.64|0.07|23.8|2.5|59.6 ± 10.8|5087 ± 256|135.1 ± 12.8|23.8 ± 2.5
HR 389|91 Psc|8126|K5 III|gK5|4|5.23|3.3|0.45|2.22|0.06|25.1|2.2|48.3 ± 4.3|4144 ± 108|105.3 ± 8.9|25.1 ± 2.2
HR 450||9640|M2 III|M2 IIIab|2|5.89|4.04|0.55|2.42|0.05|47.4|6.1|41.8 ± 3.8|3825 ± 96|181.8 ± 23.1|47.4 ± 6.1
HR 564||11928|M2 III|M2 III|2|5.82|4.39|0.55|2.96|0.06|46.9|5.6|52.2 ± 3.5|3656 ± 72|147.1 ± 17.3|46.9 ± 5.6
HR 631|15 Ari|13325|M3 III|M3 IIIab|2|5.75|4.86|0.61|3.75|0.11|82.4|15.3|79.1 ± 5.7|3605 ± 84|204.1 ± 37.5|82.4 ± 15.3
HR 736|14 Tri|15656|K5 III|K5 III|6, 7|5.15|3.49|0.57|2.60|0.11|33.7|3.6|60.8 ± 5.3|4057 ± 124|120.5 ± 11.6|33.7 ± 3.6
HR 882|24 Per|18449|K2 III|K2 III|6, 7|4.94|2.85|0.51|2.08|0.07|24.1|2.2|55.1 ± 8.8|4416 ± 192|107.5 ± 9.2|24.1 ± 2.2
HR 1343|54 Per|27348|G8 III|G8 III|5|4.93|2.17||1.44|0.13|10.8|1.2|39.1 ± 5.9|4878 ± 290|69.4 ± 3.9|10.8 ± 1.2
HR 1409|74 Tau, \epsilon Tau|28305|G9.5 III|G9.5 IIICN0.5|5|3.55|2.2|0.5|2.57|0.06|13.1|0.6|140.0 ± 30.5|5027 ± 280|47.6 ± 1.8|13.1 ± 0.6
